DocumentType,DocumentTitle,Abstract,Author,Editor,BookAuthors,PublicationName,Publisher,PublicationYear,PrintedPublicationYear,PublisherCity,Volume,Issue,StartPage,EndPage,BookTitle,BookSeriesTitle,Descriptors,PMID,ID,Correspondence,ISSN,ISBN,DOI
"Journal Article","Efficacy and moderators of a family group cognitive–behavioral preventive intervention for children of parents with depression.","Objective: Building on an earlier study (Compas, Forehand, Thigpen, et al., 2011), tests of main effects and potential moderators of a family group cognitive–behavioral (FGCB) preventive intervention for children of parents with a history of depression are reported. Method: Assessed a sample of 180 families (242 children ages 9–15 years) in a randomized controlled trial assessed at 2, 6, 12, 18 and 24 months after baseline. Results: Significant effects favoring the FGCB intervention over a written information comparison condition were found on measures of children’s symptoms of depression, mixed anxiety/depression, internalizing problems, and externalizing problems, with multiple effects maintained at 18 and 24 months, and on incidence of child episodes of major depressive disorder over the 24 months. Effects were stronger for child self-reports than for parent reports. Minimal evidence was found for child age, child gender, parental education, parental depressive symptoms, or presence of a current parental depressive episode at baseline as moderators of the FGCB intervention. Conclusions: The findings provide support for sustained and robust effects of this preventive intervention. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Compas, Bruce E.;Forehand, Rex;Thigpen, Jennifer;Hardcastle, Emily;Garai, Emily;McKee, Laura;Keller, Gary;Dunbar, Jennifer P.;Watson, Kelly H.;Rakow, Aaron;Bettis, Alexandra;Reising, Michelle;Cole, David;Sterba, Sonya","","","Journal of Consulting and Clinical Psychology","American Psychological Association","2015","","US","83","3","541","553","","","*Child Psychopathology;  *Intervention;  *Major Depression;  *Prevention;  *Treatment Effectiveness Evaluation; Cognitive Behavior Therapy; Externalization; Family Therapy; Group Psychotherapy; Internalization; Parents","26009786","2015-23039-002","Compas, Bruce E.: Vanderbilt University, Department of Psychology & Human Development, Peabody 552, 230 Appleton Place, Nashville, TN, US, 37203","1939-2117(Electronic);0022-006X(Print)","","https://doi.org/10.1037/a0039053"
"Journal Article","Observed parental responsiveness/warmth and children’s coping: Cross-sectional and prospective relations in a family depression preventive intervention.","The current study examined concurrent and prospective relations between observed parenting behaviors and children’s coping strategies in the context of a preventive intervention designed to change both parenting and children’s use of secondary control coping. Questionnaires and direct observations were obtained from parents with a history of depression (N = 180) and their children (ages 9–15 years) at baseline, 6-month (after completion of the intervention), and 18-month follow-up assessments. Cross-sectional analyses indicate that baseline observed parental responsiveness/warmth was significantly associated with composite parent/child reports of children’s baseline primary control, secondary control, and disengagement coping. Using a mixed effects model, prospective mediational analyses indicate that intervention-driven improvements in observed parental responsiveness/warmth from baseline to 6 months significantly accounted for increases in children’s use of secondary control coping strategies from baseline to the 18-month follow-up assessment. No significant mediation effects emerged for primary control coping or disengagement coping. The present findings suggest that it may be possible to improve children’s coping strategies not only through targeted interventions, but also indirectly by improving responsive and warm parenting behaviors. Limitations and strengths are noted and implications for future research are outlined. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Watson, Kelly H.;Dunbar, Jennifer P.;Thigpen, Jennifer;Reising, Michelle M.;Hudson, Kelsey;McKee, Laura;Forehand, Rex;Compas, Bruce E.","","","Journal of Family Psychology","American Psychological Association","2014","","US","28","3","278","286","","","*Coping Behavior;  *Major Depression;  *Parental Characteristics;  *Parents;  *Family History; Cognitive Behavior Therapy; Family; Intervention; Prevention","24773219","2014-14630-001","Watson, Kelly H.: Department of Psychology and Human Development, Vanderbilt University, Nashville, TN, US, 37203, kelly.a.haker@vanderbilt.edu","1939-1293(Electronic);0893-3200(Print)","","https://doi.org/10.1037/a0036672"
"Journal Article","A pragmatic randomized clinical trial of behavioral activation for depressed pregnant women.","Objective: Depression among pregnant women is a prevalent public health problem associated with poor maternal and offspring development. Behavioral activation (BA) is a scalable intervention aligned with pregnant women’s preference for nonpharmacological depression care. This is the first test of the effectiveness of BA for depression among pregnant women, which aimed to evaluate the effectiveness of BA as compared with treatment as usual (TAU). Method: Pregnant women (mean age = 28.75 years; SD = 5.67) with depression symptoms were randomly assigned to BA (n = 86) or TAU (n = 77). Exclusion criteria included known bipolar or psychotic disorder or immediate self-harm risk. Follow-up assessment occurred 5 and 10 weeks postrandomization and 3 months postpartum using self-report measures of primary and secondary outcomes and putative targets. Results: Compared with TAU, BA was associated with significantly lower depressive symptoms (d = 0.34, p = .04) and higher remission (56.3% vs. 30.3%, p = .003). BA also demonstrated significant advantage on anxiety and perceived stress. Participants attended most BA sessions and reported high satisfaction. Participants in BA reported significantly higher levels of activation (d = 0.69, p < .0002) and environmental reward (d = 0.54, p < .003) than those who received TAU, and early change in both of these putative targets significantly mediated subsequent depression outcomes. Conclusions: BA is effective for pregnant women, offering significant depression, anxiety, and stress benefits, with mediation analyses supporting the importance of putative targets of activation and environmental reward. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","Dimidjian, Sona;Goodman, Sherryl H.;Sherwood, Nancy E.;Simon, Gregory E.;Ludman, Evette;Gallop, Robert;Welch, Stacy Shaw;Boggs, Jennifer M.;Metcalf, Christina A.;Hubley, Sam;Powers, J. David;Beck, Arne","","","Journal of Consulting and Clinical Psychology","American Psychological Association","2017","","US","85","1","26","36","","","*Major Depression;  *Postpartum Depression;  *Pregnancy;  *Behavioral Activation System; Clinical Trials","28045285","2016-62045-002","Dimidjian, Sona: Department of Psychology and Neuroscience, University of Colorado–Boulder, 345 UCB Muenzinger, Office 313B, Boulder, CO, US, 80309-0345, sona.dimidjian@colorado.edu","1939-2117(Electronic);0022-006X(Print)","","https://doi.org/10.1037/ccp0000151"
"Journal Article","Family group cognitive–behavioral preventive intervention for families of depressed parents: 18- and 24-month outcomes.","Objective: In a long-term follow-up of a randomized controlled trial (Compas et al., 2009) to examine the effects at 18- and 24-month follow-ups of a family group cognitive–behavioral (FGCB) preventive intervention for mental health outcomes for children and parents from families (N = 111) of parents with a history of major depressive disorder (MDD). Method: Parents with a history of MDD and their 9- to 15-year-old children were randomly assigned to a FGCB intervention or a written information comparison condition. Children's internalizing, externalizing, anxiety/depression, and depressive symptoms; episodes of MDD and other psychiatric diagnoses; and parents' depressive symptoms and episodes of MDD were assessed at 18 and 24 months after randomization. Results: Children in the FGCB condition were significantly lower in self-reports of anxiety/depression and internalizing symptoms at 18 months and were significantly lower in self-reports of externalizing symptoms at 18 and 24 months. Rates of MDD were significantly lower for children in the FGCB intervention over the 24-month follow-up (odds ratio = 2.91). Marginal effects were found for parents' symptoms of depression at 18 and 24 months but not for episodes of MDD. Conclusions: Support was found for a FGCB preventive intervention for children of parents with a history of MDD significantly reducing children's episodes of MDD over a period of 2 years. Significant effects for the FGCB intervention were also found on internalizing and externalizing symptoms, with stronger effects at 18- than at 24-month follow-up. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Compas, Bruce E.;Forehand, Rex;Thigpen, Jennifer C.;Keller, Gary;Hardcastle, Emily J.;Cole, David A.;Potts, Jennifer;Watson, Kelly H.;Rakow, Aaron;Colletti, Christina;Reeslund, Kristen;Fear, Jessica;Garai, Emily;McKee, Laura;Merchant, M. J.;Roberts, Lorinda","","","Journal of Consulting and Clinical Psychology","American Psychological Association","2011","","US","79","4","488","499","","","*Cognitive Behavior Therapy;  *Family Therapy;  *Major Depression;  *Offspring;  *Parents; Prevention; Treatment Effectiveness Evaluation","21707137","2011-13212-001","Compas, Bruce E.: Department of Psychology and Human Development, Vanderbilt University, Peabody 552, 230 Appleton Place, Nashville, TN, US, 37203, bruce.compas@vanderbilt.edu","1939-2117(Electronic);0022-006X(Print)","","https://doi.org/10.1037/a0024254"
"Journal Article","Treating insomnia improves mood state, sleep, and functioning in bipolar disorder: A pilot randomized controlled trial.","Objective: To determine if a treatment for interepisode bipolar disorder I patients with insomnia improves mood state, sleep, and functioning. Method: Alongside psychiatric care, interepisode bipolar disorder I participants with insomnia were randomly allocated to a bipolar disorder–specific modification of cognitive behavior therapy for insomnia (CBTI-BP; n = 30) or psychoeducation (PE; n = 28) as a comparison condition. Outcomes were assessed at baseline, the end of 8 sessions of treatment, and 6 months later. This pilot was conducted to determine initial feasibility and generate effect size estimates. Results: During the 6-month follow-up, the CBTI-BP group had fewer days in a bipolar episode relative to the PE group (3.3 days vs. 25.5 days). The CBTI-BP group also experienced a significantly lower hypomania/mania relapse rate (4.6% vs. 31.6%) and a marginally lower overall mood episode relapse rate (13.6% vs. 42.1%) compared with the PE group. Relative to PE, CBTI-BP reduced insomnia severity and led to higher rates of insomnia remission at posttreatment and marginally higher rates at 6 months. Both CBTI-BP and PE showed statistically significant improvement on selected sleep and functional impairment measures. The effects of treatment were well sustained through follow-up for most outcomes, although some decline on secondary sleep benefits was observed. Conclusions: CBTI-BP was associated with reduced risk of mood episode relapse and improved sleep and functioning on certain outcomes in bipolar disorder. Hence, sleep disturbance appears to be an important pathway contributing to bipolar disorder. The need to develop bipolar disorder–specific sleep diary scoring standards is highlighted. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","Harvey, Allison G.;Soehner, Adriane M.;Kaplan, Kate A.;Hein, Kerrie;Lee, Jason;Kanady, Jennifer;Li, Descartes;Rabe-Hesketh, Sophia;Ketter, Terence A.;Neylan, Thomas C.;Buysse, Daniel J.","","","Journal of Consulting and Clinical Psychology","American Psychological Association","2015","","US","83","3","564","577","","","*Bipolar Disorder;  *Cognitive Behavior Therapy;  *Emotional States;  *Insomnia; Sleep","25622197","2015-02673-001","Harvey, Allison G.: Department of Psychology, University of California, Berkeley, 2205 Tolman Hall #1650, Berkeley, CA, US, 94720-1650, aharvey@berkeley.edu","1939-2117(Electronic);0022-006X(Print)","","https://doi.org/10.1037/a0038655"
"Journal Article","Randomized trial of social rehabilitation and integrated health care for older people with severe mental illness.","Objective: The Helping Older People Experience Success (HOPES) program was developed to improve psychosocial functioning and reduce long-term medical burden in older people with severe mental illness (SMI) living in the community. HOPES includes 1 year of intensive skills training and health management, followed by a 1-year maintenance phase. Method: To evaluate effects of HOPES on social skills and psychosocial functioning, we conducted a randomized controlled trial with 183 older adults with SMI (58% schizophrenia spectrum) age 50 and older at 3 sites who were assigned to HOPES or treatment as usual with blinded follow-up assessments at baseline and 1- and 2-year follow-up. Results: Retention in the HOPES program was high (80%). Intent-to-treat analyses showed significant improvements for older adults assigned to HOPES compared to treatment as usual in performance measures of social skill, psychosocial and community functioning, negative symptoms, and self-efficacy, with effect sizes in the moderate (.37–.63) range. Exploratory analyses indicated that men improved more than women in the HOPES program, whereas benefit from the program was not related to psychiatric diagnosis, age, or baseline levels of cognitive functioning, psychosocial functioning, or social skill. Conclusions: The results support the feasibility of engaging older adults with SMI in the HOPES program, an intensive psychiatric rehabilitation intervention that incorporates skills training and medical case management, and improves psychosocial functioning in this population. Further research is needed to better understand gender differences in benefit from the HOPES program. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","Mueser, Kim T.;Pratt, Sarah I.;Bartels, Stephen J.;Swain, Karin;Forester, Brent;Cather, Corinne;Feldman, James","","","Journal of Consulting and Clinical Psychology","American Psychological Association","2010","","US","78","4","561","573","","","*Aging;  *Health;  *Mental Disorders;  *Rehabilitation;  *Social Skills Training; Serious Mental Illness","20658812","2010-14877-011","Mueser, Kim T.: Dartmouth Psychiatric Research Center, Main Building, 105 Pleasant Street, Concord, NH, US, 03301, kim.t.mueser@dartmouth.edu","1939-2117(Electronic);0022-006X(Print)","","https://doi.org/10.1037/a0019629"
"Journal Article","Pilot study: Brief posttrauma nightmare treatment for persons with bipolar disorder.","Previous research on an efficacious cognitive-behavioral treatment for posttrauma nightmares and sleep disturbances (exposure, relaxation, and rescripting therapy; ERRT) has not tested the treatment in individuals with bipolar disorder. However, research suggests that individuals diagnosed with bipolar disorder are at increased risk for trauma exposure and development of posttrauma symptoms. The present pilot study sought to examine the acceptability and preliminary efficacy of a modified version of ERRT (ERRT-B) on reducing the frequency and severity of nightmares and improving sleep quality for 7 trauma-exposed individuals diagnosed with bipolar disorder who also reported frequent posttrauma nightmares (experienced on average for 16 years). Participants attended 5 weeks of ERRT-B and completed baseline, posttreatment, and 3-month follow-up assessments to measure changes in nightmare frequency, nightmare severity, and associated symptoms. Large effect sizes were observed for nightmare frequency, nightmare severity, and posttraumatic stress disorder symptoms, with 6 participants reporting zero nightmares at the 3-month follow-up assessment. Improvements in depression, global sleep quality, and insomnia severity were mixed. Results obtained from this study offer preliminary evidence in support of ERRT-B in reducing nightmare frequency and severity, and posttraumatic stress disorder symptoms. These results suggest clinical utility for the treatment of trauma-related nightmares in individuals with bipolar disorder and encourage more research. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","Miller, Katherine E.;Davis, Joanne L.;Rhudy, Jamie L.","","","Dreaming","Educational Publishing Foundation","2018","","US","28","2","150","161","","","*Bipolar Disorder;  *Exposure Therapy;  *Nightmares;  *Relaxation Therapy;  *Treatment Effectiveness Evaluation; Cognitive Behavior Therapy; Sleep; Sleep Wake Cycle; Stress; Trauma","","2018-29461-004","Miller, Katherine E.: National Center for PTSD-Dissemination and Training Division, VA Palo Alto Health Care System, 795 Willow Road, Menlo Park, CA, US, 94025, katherine.miller13@va.gov","1573-3351(Electronic);1053-0797(Print)","","https://doi.org/10.1037/drm0000082"
"Journal Article","Family communication with teens at clinical high-risk for psychosis or bipolar disorder.","Previous research has found that family problem-solving interactions are more constructive and less contentious when there is a family member with bipolar disorder compared with schizophrenia. The present study extended this research by examining whether family problem-solving interactions differ between clinical high-risk (CHR) stages of each illness. Trained coders applied a behavioral coding system (O’Brien et al., 2014) to problem-solving interactions of parents and their adolescent child, conducted just prior to beginning a randomized trial of family-focused therapy. The CHR for psychosis sample included 58 families with an adolescent with attenuated positive symptoms, brief intermittent psychosis, or genetic risk and functional deterioration; the CHR for bipolar disorder sample included 44 families with an adolescent with “unspecified” bipolar disorder or major depressive disorder and at least one first or second degree relative with bipolar I or II disorder. When controlling for adolescent gender, age, functioning, and parent education, mothers of youth at CHR for psychosis displayed significantly more conflictual and less constructive communication than did mothers of youth at CHR for bipolar disorder. Youth risk classification did not have a significant relationship with youths’ or fathers’ communication behavior. The family environment among help-seeking adolescents may be more challenging for families with an adolescent at CHR for psychosis compared with bipolar illness. Accordingly, families of adolescents at clinical high-risk for psychosis may benefit from more intensive or focused communication training than is required by families of adolescents at clinical high-risk for bipolar disorder or other mood disorders. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","Salinger, Julia M.;O'Brien, Mary P.;Miklowitz, David J.;Marvin, Sarah E.;Cannon, Tyrone D.","","","Journal of Family Psychology","American Psychological Association","2018","","US","32","4","507","516","","","*Adolescent Development;  *Bipolar Disorder;  *Communication;  *Family;  *Psychosis; At Risk Populations; Early Intervention; Family Therapy; Problem Solving; Schizophrenia","29389150","2018-04363-001","Salinger, Julia M.: Department of Psychology and Neuroscience, University of Colorado Boulder, 345 UCB, Boulder, CO, US, 80309-0345, julia.salinger@colorado.edu","1939-1293(Electronic);0893-3200(Print)","","https://doi.org/10.1037/fam0000393"
"Journal Article","A randomized trial of group therapy for resource activation for patients with affective disorder.","Resource activation is a common factor of psychotherapy and has an effect on the treatment success regardless of the specific orientation. A balanced focus on resources and problems seems to constitute a promising therapy method. Therefore, the aim of this study was to evaluate the effects of a novel group therapy for resource activation (GTRA) for inpatients with unipolar depressive and bipolar affective disorders experiencing a depressive episode. Primary outcome criteria were the change in resources and in depression severity. Eighty-nine patients with unipolar depressive and bipolar affective disorders (57.3% female, mean age = 39.9 years) took part in a randomized, controlled trial comparing GTRA plus treatment as usual (TAU) with TAU alone. A comparison of the intervention (GTRA plus TAU) and control group (TAU) showed significantly higher improvements over time in “current relationships” and “fostering self-esteem” in the intervention group but no significant group differences in depression severity. Over the course of the GTRA, participants reported positive experiences of coping and clarification and showed significant increases in problem activation and improvements in subjective session outcomes. This study can be understood as a preliminary effort to pave the way for further refinement and testing of GTRA for patients with affective disorders in addition to TAU in an inpatient care setting. Future research should focus on improving the efficacy of the GTRA by varying different therapy components (e.g., the duration of the GTRA). (PsycInfo Database Record (c) 2021 APA, all rights reserved)","Goldbach, Nele;Reif, Andreas;Preuss, Hanna;Erhart, Mira;Zabel, Kirsten;Windmann, Sabine;Oertel, Viola","","","Journal of Psychotherapy Integration","Educational Publishing Foundation","2021","","US","","","No Pagination Specified","No Pagination Specified","","","*Affective Disorders;  *Bipolar Disorder;  *Cognitive Behavior Therapy;  *Group Psychotherapy;  *Severity (Disorders); Group Differences; Major Depression; Patients; Common Factors","","2022-17116-001","Goldbach, Nele: Laboratory for Neuroimaging, Department of Psychiatry, Psychosomatic Medicine and Psychotherapy, Goethe University, Heinrich-Hoffmann-Strasse 10, Frankfurt, Germany, 60528, nelegoldbach@gmx.de","1573-3696(Electronic);1053-0479(Print)","","https://doi.org/10.1037/int0000274"
"Journal Article","Randomized clinical trial evaluating the preliminary effectiveness of an integrated anxiety disorder treatment in substance use disorder specialty clinics.","Objective: Anxiety and substance use disorders are highly comorbid and mutually maintain each other. Treatments for anxiety disorders that are well integrated into substance use disorder treatment have the potential to improve both anxiety and substance use outcomes. Method: Ninety-seven individuals seeking treatment at a community-based, evidence-based intensive outpatient program for substance use disorders who also had anxiety disorders were randomized to either (a) usual care (UC) at the intensive outpatient program; or (b) UC + coordinated anxiety learning and management for addiction recovery centers (CALM ARC), a 7-session, group-based, computer-assisted but therapist-directed treatment for anxiety disorders adapted for individuals with anxiety disorder and substance use disorder comorbidity. Results: CALM ARC + UC outperformed UC on measures of anxiety and substance use at posttreatment and at a 6-month follow-up. Conclusions: Adding CALM ARC to UC for patients with comorbid anxiety disorders and substance use disorders is superior to UC alone. Implications for future research and clinical practice are discussed. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","Wolitzky-Taylor, Kate;Krull, Jennifer;Rawson, Richard;Roy-Byrne, Peter;Ries, Richard;Craske, Michelle G.","","","Journal of Consulting and Clinical Psychology","American Psychological Association","2018","","US","86","1","81","88","","","*Anxiety Disorders;  *Cognitive Behavior Therapy;  *Community Services;  *Integrated Services;  *Substance Use Disorder; Clinics; Comorbidity; Evidence Based Practice; Outpatient Treatment","29300100","2017-58329-002","Wolitzky-Taylor, Kate: Department of Psychiatry and Biobehavioral Sciences, University of California-Los Angeles, Semel Institute/Integrated Substance Abuse Programs, 11075 Santa Monica, Boulevard, Suite 200, Los Angeles, CA, US, 90025, kbtaylor@mednet.ucla.edu","1939-2117(Electronic);0022-006X(Print)","","https://doi.org/10.1037/ccp0000276"
"Journal Article","Alcohol craving in patients diagnosed with a severe mental illness and alcohol use disorder: Bidirectional relationships between approach and avoidance inclinations and drinking.","[Correction Notice: An Erratum for this article was reported in Vol 81(6) of Journal of Consulting and Clinical Psychology (see record 2013-32932-001). Stephen A. Maisto should have been listed as being affiliated with Syracuse University in the byline and author note. All versions of this article have been corrected.] Objective: The current study was undertaken to better understand the craving–drinking relationship among individuals dually diagnosed with a severe mental illness (SMI) and an alcohol use disorder (AUD). Using an ambivalence conceptualization of craving (Breiner, Stritzke, & Lang, 1999), we investigated the bidirectional relationships between desires and behavioral intentions to use (approach inclinations) and not use (avoidance inclinations) alcohol and drinking outcomes in patients diagnosed with an SMI-AUD. Method: Patients (N = 278) seeking outpatient dual diagnosis treatment from a community mental health center were followed longitudinally over the course of 6 months. Assessments at baseline, 2-month, 4-month, and 6-month intervals included approach and avoidance inclinations, alcohol urges, readiness to change, and drinking outcomes. Results: Time-lagged multilevel growth curve modeling found that avoidance inclinations moderated the effect of approach inclinations on subsequent drinking outcomes differentially over time. Specifically, avoidance inclinations attenuated the effect of approach on subsequent heavier drinking levels, and high avoidance/low approach demonstrated significant decreases on levels of drinking over time. Results also indicated that number of drinks consumed and heavy drinking days predicted subsequent approach inclinations differentially over time, such that lower levels of drinking predicted decreases in approach inclinations. Decreases in drinking also predicted higher subsequent avoidance inclinations, which were maintained over time. Conclusions: These findings highlight the complexity of subjective craving responses and the importance of measuring both approach and avoidance inclinations. Among those diagnosed with SMI-AUDs, treatment strategies that increase avoidance inclinations may increase abstinence rates in this difficult-to-treat population. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","Schlauch, Robert C.;Levitt, Ash;Bradizza, Clara M.;Stasiewicz, Paul R.;Lucke, Joseph F.;Maisto, Stephen A.;Zhuo, Yue;Connors, Gerard J.","","","Journal of Consulting and Clinical Psychology","American Psychological Association","2013","","US","81","6","1087","1099","","","*Alcoholism;  *Comorbidity;  *Craving;  *Mental Disorders;  *Approach Avoidance; Readiness to Change; Severity (Disorders); Alcohol Use Disorder; Serious Mental Illness","23895085","2013-27122-001","Schlauch, Robert C.: Research Institute on Addictions, University at Buffalo, State University of New York, 1021 Main Street, Buffalo, NY, US, 14203, rschlauch@ria.buffalo.edu","1939-2117(Electronic);0022-006X(Print)","","https://doi.org/10.1037/a0033914"
"Journal Article","Psychiatric disorders and sexual risk among adolescents in mental health treatment.","Objective: To examine the relationship between psychiatric disorders and sexual behaviors among adolescents receiving mental health treatment. Adolescents in mental health treatment have been found to have higher rates of HIV risk behavior than their peers, but data concerning the relationship between psychopathology and risk are inconsistent and limited. Method: Eight hundred and forty adolescents (56% female, 58% African American, mean age = 14.9 years) and their parents completed computerized assessments of psychiatric symptoms via the Computerized Diagnostic Interview Schedule for Children (Shaffer, 2000a, 2000b). Adolescents also reported on sexual risk behaviors (vaginal/anal sex, condom use at last sex) and completed urine screens for a sexually transmitted infection (STI). Results: Adolescents meeting criteria for mania, externalizing disorders (oppositional defiant, conduct, and attention-deficit/hyperactivity disorders), or comorbid for externalizing and internalizing disorders (major depressive, generalized anxiety, and posttraumatic stress disorders) were significantly more likely to report a lifetime history of vaginal or anal sex than those who did not meet criteria for any psychiatric disorder (odds ratio [OR] = 2.0, 2.3, and 1.9, respectively). Adolescents meeting criteria for mania were significantly more likely to have 2 or more partners in the past 90 days (OR = 3.2) and to test positive for a STI (OR = 4.3) relative to adolescents who did not meet criteria for a psychiatric disorder. Conclusions: The presence of internalizing and externalizing disorders, especially mania, suggests the need for careful screening and targeting of adolescent sexual behavior during psychiatric treatment. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Brown, Larry K.;Hadley, Wendy;Stewart, Angela;Lescano, Celia;Whiteley, Laura;Donenberg, Geri;DiClemente, Ralph","","","Journal of Consulting and Clinical Psychology","American Psychological Association","2010","","US","78","4","590","597","","","*Mental Disorders;  *Psychosexual Behavior;  *Sexual Risk Taking;  *Treatment; Mental Health; Risk Assessment","20658815","2010-14877-014","Brown, Larry K.: Bradley/Hasbro Children’s Research Center, One Hoppin Street, Suite 204, Providence, RI, US, 02903, lkbrown@lifespan.org","1939-2117(Electronic);0022-006X(Print)","","https://doi.org/10.1037/a0019632"
"Journal Article","Randomized controlled trial of a family cognitive-behavioral preventive intervention for children of depressed parents.","A family cognitive-behavioral preventive intervention for parents with a history of depression and their 9–15-year-old children was compared with a self-study written information condition in a randomized clinical trial (n = 111 families). Outcomes were assessed at postintervention (2 months), after completion of 4 monthly booster sessions (6 months), and at 12-month follow-up. Children were assessed by child reports on depressive symptoms, internalizing problems, and externalizing problems; by parent reports on internalizing and externalizing problems; and by child and parent reports on a standardized diagnostic interview. Parent depressive symptoms and parent episodes of major depression also were assessed. Evidence emerged for significant differences favoring the family group intervention on both child and parent outcomes; strongest effects for child outcomes were found at the 12-month assessment with medium effect sizes on most measures. Implications for the prevention of adverse outcomes in children of depressed parents are highlighted. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Compas, Bruce E.;Forehand, Rex;Keller, Gary;Champion, Jennifer E.;Rakow, Aaron;Reeslund, Kristen L.;McKee, Laura;Fear, Jessica M.;Colletti, Christina J. M.;Hardcastle, Emily;Merchant, Mary Jane;Roberts, Lori;Potts, Jennifer;Garai, Emily;Coffelt, Nicole;Roland, Erin;Sterba, Sonya K.;Cole, David A.","","","Journal of Consulting and Clinical Psychology","American Psychological Association","2009","","US","77","6","1007","1020","","","*Cognitive Behavior Therapy;  *Family Therapy;  *Major Depression;  *Offspring;  *Prevention; Parents","19968378","2009-22711-001","Compas, Bruce E.: Vanderbilt University, Department of Psychology and Human Development, Peabody 552, 230 Appleton Place, Nashville, TN, US, 37203, bruce.compas@vanderbilt.edu","1939-2117(Electronic);0022-006X(Print)","","https://doi.org/10.1037/a0016930"
"Journal Article","Effects of family intervention on psychosocial functioning and mood symptoms of youth at high risk for bipolar disorder.","Objectives: Family-focused therapy (FFT) is associated with reduced rates of mood episodes among youth at high risk for bipolar disorder (BD). In a randomized trial of FFT compared to a psychoeducation-only treatment (enhanced care, EC), we sought to determine if changes in psychosocial functioning mediate mood improvements among high-risk youth. Method: 119 youths with active mood symptoms and a family history of BD were randomized to either 4 months of FFT or EC. Participants were rated on mood symptom severity and provided self-ratings of psychosocial functioning across domains of family, social–emotional, and school functioning. Repeated measures mixed modeling and bootstrapped mediational analyses evaluated the effects of treatment conditions and psychosocial functioning on mood improvements immediately posttreatment and over 2 years of follow-up. Results: Youths in FFT reported greater improvements in family functioning over 24 months compared to those in EC, F(5, 76.8) = 3.1, p B = −0.22, p < .01; 95% CI [−0.55, −0.02]. The effects of FFT versus EC on family functioning were stronger among youth with comorbid anxiety and externalizing disorders than among youth without these comorbid disorders. Conclusions: The findings suggest a temporal link between changes in youths’ perceptions of family functioning and improvements in depressive symptoms among high-risk youth in FFT. Family conflict and cohesion are important treatment targets for youth who present with early signs of BD. Future studies should examine whether changes in observational measures of family interaction precede improvements in mood among high-risk youth. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","Weintraub, Marc J.;Schneck, Christopher D.;Posta, Filippo;Merranko, John A.;Singh, Manpreet K.;Chang, Kiki D.;Miklowitz, David J.","","","Journal of Consulting and Clinical Psychology","American Psychological Association","2022","","US","90","2","161","171","","","*Bipolar Disorder;  *Emotional States;  *Family Intervention;  *Psychosocial Factors;  *Psychosocial Rehabilitation; At Risk Populations; Family Therapy; Pediatrics; Symptoms","","2022-23731-001","Weintraub, Marc J.: Department of Psychiatry, Semel Institute for Neuroscience and Human Behavior, University of California, Los Angeles, 760 Westwood Boulevard, Room A8–259, Los Angeles, CA, US, 90095, mjweintraub@mednet.ucla.edu","1939-2117(Electronic);0022-006X(Print)","","https://doi.org/10.1037/ccp0000708"
